cluster_id,archetype_name,state_name,n_women,share_within_cluster,risk_tier
0,"High Vulnerability, High Barrier Exposure",Uttar Pradesh,57699,0.147958,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Bihar,33154,0.085017,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Madhya Pradesh,31281,0.080214,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Assam,27204,0.06976,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Rajasthan,23549,0.060387,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Jharkhand,20137,0.051638,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Chhattisgarh,19394,0.049732,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Odisha,19317,0.049535,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Gujarat,16249,0.041668,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Arunachal Pradesh,14615,0.037477,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",West Bengal,14226,0.03648,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Maharashtra,13474,0.034552,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Telangana,12565,0.032221,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Karnataka,11798,0.030254,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Jammu & Kashmir,11386,0.029197,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Meghalaya,9381,0.024056,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Tamil Nadu,6801,0.01744,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Nagaland,6676,0.017119,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Uttarakhand,6180,0.015847,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Tripura,5614,0.014396,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Haryana,5220,0.013386,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Andhra Pradesh,4690,0.012027,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Manipur,4351,0.011157,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Himachal Pradesh,3360,0.008616,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Punjab,3122,0.008006,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Mizoram,1993,0.005111,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Sikkim,1665,0.00427,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Ladakh,1304,0.003344,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Kerala,908,0.002328,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Dadra & Nagar Haveli And Daman & Diu,886,0.002272,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Andaman & Nicobar Islands,804,0.002062,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Nct Of Delhi,457,0.001172,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Puducherry,273,0.0007,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Goa,135,0.000346,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Lakshadweep,60,0.000154,High Risk Cluster
0,"High Vulnerability, High Barrier Exposure",Chandigarh,40,0.000103,High Risk Cluster
1,High Media & Digital Inclusion,Uttar Pradesh,35425,0.106016,Low Risk Cluster
