wealth_tier,education_tier,residence,caste_group,barrier_type,N,demographic_cell,metric_type,value,data_rail
Middle,Higher,Rural,Don't Know,Household Barrier,65,Middle | Higher | Rural | Don't Know,Observed Rate (NFHS-5),0.015385,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Don't Know,Household Barrier,65,Middle | Higher | Rural | Don't Know,BarrierLens AI Predicted Probability,0.127885,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Don't Know,Logistical Barrier,65,Middle | Higher | Rural | Don't Know,Observed Rate (NFHS-5),0.123077,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Don't Know,Logistical Barrier,65,Middle | Higher | Rural | Don't Know,BarrierLens AI Predicted Probability,0.263564,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Don't Know,Health Facility Barrier,65,Middle | Higher | Rural | Don't Know,Observed Rate (NFHS-5),0.538462,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Don't Know,Health Facility Barrier,65,Middle | Higher | Rural | Don't Know,BarrierLens AI Predicted Probability,0.513651,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Household Barrier,487,Middle | Higher | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.209446,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,No Caste/Tribe,Household Barrier,487,Middle | Higher | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.425977,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Logistical Barrier,487,Middle | Higher | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.305955,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,No Caste/Tribe,Logistical Barrier,487,Middle | Higher | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.494577,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Health Facility Barrier,487,Middle | Higher | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.464066,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,No Caste/Tribe,Health Facility Barrier,487,Middle | Higher | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.519164,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Household Barrier,11140,Middle | Higher | Rural | Other Caste,Observed Rate (NFHS-5),0.19228,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Other Caste,Household Barrier,11140,Middle | Higher | Rural | Other Caste,BarrierLens AI Predicted Probability,0.38815,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Logistical Barrier,11140,Middle | Higher | Rural | Other Caste,Observed Rate (NFHS-5),0.276391,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Other Caste,Logistical Barrier,11140,Middle | Higher | Rural | Other Caste,BarrierLens AI Predicted Probability,0.45164,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Health Facility Barrier,11140,Middle | Higher | Rural | Other Caste,Observed Rate (NFHS-5),0.420826,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Other Caste,Health Facility Barrier,11140,Middle | Higher | Rural | Other Caste,BarrierLens AI Predicted Probability,0.45823,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Household Barrier,1744,Middle | Higher | Rural | Tribe,Observed Rate (NFHS-5),0.256881,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Tribe,Household Barrier,1744,Middle | Higher | Rural | Tribe,BarrierLens AI Predicted Probability,0.466606,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Logistical Barrier,1744,Middle | Higher | Rural | Tribe,Observed Rate (NFHS-5),0.342317,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Tribe,Logistical Barrier,1744,Middle | Higher | Rural | Tribe,BarrierLens AI Predicted Probability,0.512917,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Health Facility Barrier,1744,Middle | Higher | Rural | Tribe,Observed Rate (NFHS-5),0.463303,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Rural,Tribe,Health Facility Barrier,1744,Middle | Higher | Rural | Tribe,BarrierLens AI Predicted Probability,0.504649,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,No Caste/Tribe,Household Barrier,176,Middle | Higher | Urban | No Caste/Tribe,Observed Rate (NFHS-5),0.181818,Rail A — Observed Rate (NFHS-5)
Middle,Higher,Urban,No Caste/Tribe,Household Barrier,176,Middle | Higher | Urban | No Caste/Tribe,BarrierLens AI Predicted Probability,0.392546,Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,No Caste/Tribe,Logistical Barrier,176,Middle | Higher | Urban | No Caste/Tribe,Observed Rate (NFHS-5),0.113636,Rail A — Observed Rate (NFHS-5)
