wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Middle,Higher,Rural,Don't Know,Household Barrier,65,False,0.015385,0.127885,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Don't Know,Logistical Barrier,65,False,0.123077,0.263564,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Don't Know,Health Facility Barrier,65,False,0.538462,0.513651,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Household Barrier,487,False,0.209446,0.425977,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Logistical Barrier,487,False,0.305955,0.494577,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,No Caste/Tribe,Health Facility Barrier,487,False,0.464066,0.519164,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Household Barrier,11140,False,0.19228,0.38815,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Logistical Barrier,11140,False,0.276391,0.45164,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Other Caste,Health Facility Barrier,11140,False,0.420826,0.45823,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Household Barrier,1744,False,0.256881,0.466606,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Logistical Barrier,1744,False,0.342317,0.512917,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Rural,Tribe,Health Facility Barrier,1744,False,0.463303,0.504649,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Don't Know,Household Barrier,11,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Don't Know,Logistical Barrier,11,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Don't Know,Health Facility Barrier,11,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,No Caste/Tribe,Household Barrier,176,False,0.181818,0.392546,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,No Caste/Tribe,Logistical Barrier,176,False,0.113636,0.314617,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,No Caste/Tribe,Health Facility Barrier,176,False,0.471591,0.480851,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Higher,Urban,Other Caste,Household Barrier,2534,False,0.196922,0.391288,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
