Model,Target,Accuracy,ROC-AUC,Precision,Recall,F1-Score
XGBoost,Health Health Facility Barrier,0.5864,0.6188,0.5653,0.4371,0.493
Random Forest,Health Health Facility Barrier,0.5811,0.617,0.5404,0.5989,0.5682
Logistic Regression,Health Health Facility Barrier,0.5819,0.6112,0.5582,0.4372,0.4904
Decision Tree,Health Health Facility Barrier,0.5809,0.6058,0.5515,0.4768,0.5115
XGBoost,Household Barrier,0.7307,0.6625,0.5486,0.0464,0.0855
Random Forest,Household Barrier,0.6039,0.6613,0.3693,0.6479,0.4704
Logistic Regression,Household Barrier,0.7298,0.6586,0.5458,0.0304,0.0577
Decision Tree,Household Barrier,0.7305,0.6511,0.5642,0.033,0.0623
XGBoost,Logistical Barrier,0.6914,0.665,0.5638,0.1037,0.1752
Random Forest,Logistical Barrier,0.6029,0.663,0.4184,0.6575,0.5114
Logistic Regression,Logistical Barrier,0.6896,0.6603,0.5512,0.096,0.1635
Decision Tree,Logistical Barrier,0.6897,0.6566,0.5658,0.0779,0.137
