state_name,barrier_type,N,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Andaman & Nicobar Islands,Household,2397,0.035044,0.371794,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Andaman & Nicobar Islands,Logistic,2397,0.112641,0.420464,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Andaman & Nicobar Islands,Facility,2397,0.640384,0.512518,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Andhra Pradesh,Household,10975,0.261321,0.433986,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Andhra Pradesh,Logistic,10975,0.31262,0.447126,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Andhra Pradesh,Facility,10975,0.360547,0.47798,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Arunachal Pradesh,Household,19765,0.440577,0.565933,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Arunachal Pradesh,Logistic,19765,0.547989,0.58731,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Arunachal Pradesh,Facility,19765,0.605565,0.545243,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Assam,Household,34979,0.404385,0.579563,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Assam,Logistic,34979,0.372452,0.562609,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Assam,Facility,34979,0.540296,0.571498,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Bihar,Household,42483,0.343761,0.552939,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Bihar,Logistic,42483,0.374103,0.55328,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Bihar,Facility,42483,0.533413,0.544207,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chandigarh,Household,746,0.128686,0.308081,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chandigarh,Logistic,746,0.107239,0.267873,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chandigarh,Facility,746,0.119303,0.358472,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chhattisgarh,Household,28468,0.367465,0.522099,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chhattisgarh,Logistic,28468,0.392827,0.533287,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Chhattisgarh,Facility,28468,0.653857,0.558774,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Dadra & Nagar Haveli And Daman & Diu,Household,2713,0.15481,0.415807,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Dadra & Nagar Haveli And Daman & Diu,Logistic,2713,0.302248,0.415526,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Dadra & Nagar Haveli And Daman & Diu,Facility,2713,0.336159,0.477229,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Goa,Household,2030,0.040394,0.270152,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Goa,Logistic,2030,0.080788,0.264995,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Goa,Facility,2030,0.38867,0.360691,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Gujarat,Household,33343,0.209009,0.450286,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Gujarat,Logistic,33343,0.329275,0.455579,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Gujarat,Facility,33343,0.471883,0.489919,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Haryana,Household,21909,0.168378,0.374487,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Haryana,Logistic,21909,0.224702,0.379521,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Haryana,Facility,21909,0.44735,0.430215,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Himachal Pradesh,Household,10368,0.080729,0.398937,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Himachal Pradesh,Logistic,10368,0.248071,0.433416,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Himachal Pradesh,Facility,10368,0.317419,0.459244,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jammu & Kashmir,Household,23037,0.286409,0.478776,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jammu & Kashmir,Logistic,23037,0.437948,0.491278,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jammu & Kashmir,Facility,23037,0.516994,0.492948,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jharkhand,Household,26495,0.372146,0.556293,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jharkhand,Logistic,26495,0.429402,0.555334,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Jharkhand,Facility,26495,0.592074,0.55837,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Karnataka,Household,30455,0.243704,0.44743,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Karnataka,Logistic,30455,0.282909,0.44672,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Karnataka,Facility,30455,0.4132,0.47502,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Kerala,Household,10969,0.034096,0.326551,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Kerala,Logistic,10969,0.040478,0.328639,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Kerala,Facility,10969,0.014404,0.380753,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Ladakh,Household,2355,0.278556,0.508115,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Ladakh,Logistic,2355,0.424628,0.558652,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Ladakh,Facility,2355,0.453928,0.510938,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Lakshadweep,Household,1234,0.02107,0.300748,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Lakshadweep,Logistic,1234,0.029173,0.290217,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Lakshadweep,Facility,1234,0.023501,0.344637,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Madhya Pradesh,Household,48410,0.254266,0.508896,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Madhya Pradesh,Logistic,48410,0.33429,0.513091,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Madhya Pradesh,Facility,48410,0.535117,0.529677,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Maharashtra,Household,33755,0.19049,0.439905,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Maharashtra,Logistic,33755,0.234869,0.43964,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Maharashtra,Facility,33755,0.395349,0.47418,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Manipur,Household,8042,0.225441,0.511415,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Manipur,Logistic,8042,0.200199,0.502356,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Manipur,Facility,8042,0.103581,0.470838,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Meghalaya,Household,13089,0.406066,0.580215,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Meghalaya,Logistic,13089,0.406983,0.577468,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Meghalaya,Facility,13089,0.433723,0.506719,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Mizoram,Household,7279,0.044512,0.380893,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Mizoram,Logistic,7279,0.061684,0.369262,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Mizoram,Facility,7279,0.016761,0.355641,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nagaland,Household,9694,0.370951,0.559727,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nagaland,Logistic,9694,0.45327,0.57544,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nagaland,Facility,9694,0.72189,0.53685,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nct Of Delhi,Household,11159,0.095259,0.318817,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nct Of Delhi,Logistic,11159,0.117484,0.271058,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Nct Of Delhi,Facility,11159,0.281656,0.376981,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Odisha,Household,27971,0.339852,0.523417,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Odisha,Logistic,27971,0.403489,0.534433,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Odisha,Facility,27971,0.792535,0.546656,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Puducherry,Household,3669,0.146361,0.326302,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Puducherry,Logistic,3669,0.118016,0.294937,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Puducherry,Facility,3669,0.182884,0.387033,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Punjab,Household,21771,0.197005,0.370626,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Punjab,Logistic,21771,0.23908,0.381762,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Punjab,Facility,21771,0.201553,0.323796,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Rajasthan,Household,42990,0.211282,0.457649,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Rajasthan,Logistic,42990,0.275576,0.474409,Rail A — Observed,Rail B — BarrierLens OOF Prediction
Rajasthan,Facility,42990,0.492626,0.514309,Rail A — Observed,Rail B — BarrierLens OOF Prediction
