state_name,N,observed_household_rate,pred_household_prob,observed_logistic_rate,pred_logistic_prob,observed_facility_rate,pred_facility_prob,pred_composite_barrier_score,cluster_0_share,cluster_1_share,target_unmet_fp_N,target_unmet_fp_observed_rate,target_unmet_fp_pred_prob,target_anc_gap_N,target_anc_gap_observed_rate,target_anc_gap_pred_prob
Andaman & Nicobar Islands,2397,0.035044,0.371794,0.112641,0.420464,0.640384,0.512518,0.434926,0.335419,0.664581,1544,0.121114,0.42415,0,,
Andhra Pradesh,10975,0.261321,0.433986,0.31262,0.447126,0.360547,0.47798,0.45303,0.427335,0.572665,8019,0.049383,0.374419,0,,
Arunachal Pradesh,19765,0.440577,0.565933,0.547989,0.58731,0.605565,0.545243,0.566162,0.739438,0.260562,11822,0.133311,0.526906,0,,
Assam,34979,0.404385,0.579563,0.372452,0.562609,0.540296,0.571498,0.571223,0.777724,0.222276,21949,0.122967,0.493969,0,,
Bihar,42483,0.343761,0.552939,0.374103,0.55328,0.533413,0.544207,0.550142,0.780406,0.219594,28125,0.144676,0.518958,0,,
Chandigarh,746,0.128686,0.308081,0.107239,0.267873,0.119303,0.358472,0.311475,0.053619,0.946381,458,0.072052,0.419067,0,,
Chhattisgarh,28468,0.367465,0.522099,0.392827,0.533287,0.653857,0.558774,0.538053,0.681256,0.318744,17506,0.092483,0.414451,0,,
Dadra & Nagar Haveli And Daman & Diu,2713,0.15481,0.415807,0.302248,0.415526,0.336159,0.477229,0.436187,0.326576,0.673424,1749,0.13036,0.409074,0,,
Goa,2030,0.040394,0.270152,0.080788,0.264995,0.38867,0.360691,0.298613,0.066502,0.933498,1216,0.081414,0.398559,0,,
Gujarat,33343,0.209009,0.450286,0.329275,0.455579,0.471883,0.489919,0.465262,0.487329,0.512671,21730,0.115462,0.430807,0,,
Haryana,21909,0.168378,0.374487,0.224702,0.379521,0.44735,0.430215,0.394741,0.238258,0.761742,14838,0.082828,0.436553,0,,
Himachal Pradesh,10368,0.080729,0.398937,0.248071,0.433416,0.317419,0.459244,0.430532,0.324074,0.675926,7235,0.073117,0.413637,0,,
Jammu & Kashmir,23037,0.286409,0.478776,0.437948,0.491278,0.516994,0.492948,0.487667,0.494248,0.505752,11892,0.097376,0.496666,0,,
Jharkhand,26495,0.372146,0.556293,0.429402,0.555334,0.592074,0.55837,0.556666,0.76003,0.23997,17310,0.129983,0.495532,0,,
Karnataka,30455,0.243704,0.44743,0.282909,0.44672,0.4132,0.47502,0.45639,0.387391,0.612609,20654,0.069914,0.410279,0,,
Kerala,10969,0.034096,0.326551,0.040478,0.328639,0.014404,0.380753,0.345315,0.082779,0.917221,7390,0.132882,0.441477,0,,
Ladakh,2355,0.278556,0.508115,0.424628,0.558652,0.453928,0.510938,0.525902,0.553715,0.446285,1071,0.105509,0.512629,0,,
Lakshadweep,1234,0.02107,0.300748,0.029173,0.290217,0.023501,0.344637,0.311867,0.048622,0.951378,744,0.141129,0.51978,0,,
Madhya Pradesh,48410,0.254266,0.508896,0.33429,0.513091,0.535117,0.529677,0.517221,0.646168,0.353832,33160,0.080157,0.442787,0,,
Maharashtra,33755,0.19049,0.439905,0.234869,0.43964,0.395349,0.47418,0.451242,0.39917,0.60083,23428,0.095569,0.435848,0,,
Manipur,8042,0.225441,0.511415,0.200199,0.502356,0.103581,0.470838,0.49487,0.541035,0.458965,4655,0.132331,0.543976,0,,
Meghalaya,13089,0.406066,0.580215,0.406983,0.577468,0.433723,0.506719,0.554801,0.716709,0.283291,6618,0.329102,0.637417,0,,
Mizoram,7279,0.044512,0.380893,0.061684,0.369262,0.016761,0.355641,0.368599,0.273801,0.726199,3047,0.246472,0.621767,0,,
Nagaland,9694,0.370951,0.559727,0.45327,0.57544,0.72189,0.53685,0.557339,0.688673,0.311327,4988,0.098236,0.585822,0,,
Nct Of Delhi,11159,0.095259,0.318817,0.117484,0.271058,0.281656,0.376981,0.322286,0.040953,0.959047,6975,0.060789,0.429115,0,,
Odisha,27971,0.339852,0.523417,0.403489,0.534433,0.792535,0.546656,0.534835,0.690608,0.309392,18719,0.070623,0.445951,0,,
Puducherry,3669,0.146361,0.326302,0.118016,0.294937,0.182884,0.387033,0.336091,0.074407,0.925593,2406,0.077307,0.40161,0,,
Punjab,21771,0.197005,0.370626,0.23908,0.381762,0.201553,0.323796,0.358728,0.143402,0.856598,13536,0.110225,0.440834,0,,
Rajasthan,42990,0.211282,0.457649,0.275576,0.474409,0.492626,0.514309,0.482122,0.547779,0.452221,29433,0.080454,0.410278,0,,
Sikkim,3271,0.342097,0.470967,0.453684,0.496475,0.613268,0.484662,0.484035,0.509019,0.490981,2028,0.086785,0.455819,0,,
Tamil Nadu,25650,0.196101,0.399333,0.239064,0.399861,0.262339,0.445614,0.414936,0.265146,0.734854,17458,0.08088,0.402558,0,,
Telangana,27518,0.283414,0.437491,0.39367,0.451894,0.441093,0.483208,0.457531,0.45661,0.54339,19220,0.07076,0.375011,0,,
Tripura,7314,0.469374,0.56059,0.318567,0.553037,0.474569,0.557293,0.556973,0.767569,0.232431,5117,0.101427,0.483775,0,,
Uttar Pradesh,93124,0.264765,0.494014,0.263971,0.492237,0.397663,0.503489,0.49658,0.619593,0.380407,56794,0.143378,0.489743,0,,
Uttarakhand,13280,0.13637,0.428721,0.344352,0.44861,0.522816,0.481535,0.452955,0.465361,0.534639,8850,0.09887,0.425642,0,,
West Bengal,21408,0.496357,0.540028,0.337444,0.515364,0.500374,0.531757,0.52905,0.664518,0.335482,15175,0.081582,0.480464,0,,
